Action ref;Action;Category;Team;Group;Children;Date;ref action;Eco tCO2e;Eco eau;Eco dechets;
B02;"Je n""embête pas les petites bêtes.";Biodiversité; VERT ;Groupe_Vert;matamata;08/03/2025;A09;0;0;0;
B01;Je n'arrache pas les végétaux.;Biodiversité; VERT ;Groupe_Vert;matamata;08/03/2025;A10;0;0;0;
D03;Je ne jette pas de déchet par terre.;Déchets; VERT ;Groupe_Vert;matamata;08/03/2025;A01;0.424875;0;4.486538;
D10;Utiliser moins de plastique pour faire les courses (ou les réutiliser).;Déchets; VERT ;Groupe_Vert;matamata;08/03/2025;A12;0.54243;0;0.21;
C03;Je consomme des fruits et légumes de saison;Courses; VERT ;Groupe_Vert;seiche;09/03/2025;A11;6.932;0;0;
D02;Éviter le gaspillage alimentaire : se servir moins, garder pour plus tard.;Déchets; VERT ;Groupe_Vert;seiche;09/03/2025;A04;2.453511;0;1.390385;
D04;Dans l'enceinte de l'école, je ramasse les déchets que je vois.;Déchets; VERT ;Groupe_Vert;seiche;09/03/2025;A02;0.00947;0;0.1;
D10;Utiliser moins de plastique pour faire les courses (ou les réutiliser).;Déchets; VERT ;Groupe_Vert;seiche;09/03/2025;A12;0.54243;0;0.21;
D03;Je ne jette pas de déchet par terre.;Déchets; VERT ;Groupe_Vert;seiche;09/03/2025;A01;0.424875;0;4.486538;
B02;"Je n""embête pas les petites bêtes.";Biodiversité; VERT ;Groupe_Vert;seiche;09/03/2025;A09;0;0;0;
B01;Je n'arrache pas les végétaux.;Biodiversité; VERT ;Groupe_Vert;seiche;09/03/2025;A10;0;0;0;
W03;"Je ferme l""eau quand je me savonne.";Eau; VERT ;Groupe_Vert;seiche;09/03/2025;A07;0.004964;12.6;0;
W05;"Je prends une douche plutôt qu""un bain.";Eau; VERT ;Groupe_Vert;seiche;09/03/2025;A08;0.140658;357;0;
W03;"Ne pas gaspiller l""eau que l’on boit.";Eau; VERT ;Groupe_Vert;seiche;09/03/2025;A13;0.004964;12.6;0;
T03;Remplacer la voiture lors de courts trajets : vélo, trottinette, à pied, transports en commun.;Transport; VERT ;Groupe_Vert;seiche;09/03/2025;A03;0.506;0;0;
E02;J’ouvre les volets/rideaux pour profiter de la lumière du jour.;Electricité; VERT ;Groupe_Vert;seiche;09/03/2025;A06;0.027408;0;0;
E01;J'éteins la lumière quand je quitte une pièce;Electricité; VERT ;Groupe_Vert;seiche;09/03/2025;A05;0.027408;0;0;
C03;Je consomme des fruits et légumes de saison;Courses; VERT ;Groupe_Vert;koala;09/03/2025;A11;6.932;0;0;
D02;Éviter le gaspillage alimentaire : se servir moins, garder pour plus tard.;Déchets; VERT ;Groupe_Vert;koala;09/03/2025;A04;2.453511;0;1.390385;
D10;Réutiliser des bouteilles vides.;Déchets; VERT ;Groupe_Vert;koala;09/03/2025;A14;0.54243;0;0.21;
D04;Dans l'enceinte de l'école, je ramasse les déchets que je vois.;Déchets; VERT ;Groupe_Vert;koala;09/03/2025;A02;0.00947;0;0.1;
D10;Utiliser moins de plastique pour faire les courses (ou les réutiliser).;Déchets; VERT ;Groupe_Vert;koala;09/03/2025;A12;0.54243;0;0.21;
D03;Je ne jette pas de déchet par terre.;Déchets; VERT ;Groupe_Vert;koala;09/03/2025;A01;0.424875;0;4.486538;
B02;"Je n""embête pas les petites bêtes.";Biodiversité; VERT ;Groupe_Vert;koala;09/03/2025;A09;0;0;0;
B01;Je n'arrache pas les végétaux.;Biodiversité; VERT ;Groupe_Vert;koala;09/03/2025;A10;0;0;0;
E01;J'éteins la lumière quand je quitte une pièce;Electricité; VERT ;Groupe_Vert;koala;09/03/2025;A05;0.027408;0;0;
E02;J’ouvre les volets/rideaux pour profiter de la lumière du jour.;Electricité; VERT ;Groupe_Vert;koala;09/03/2025;A06;0.027408;0;0;
W03;"Je ferme l""eau quand je me savonne.";Eau; VERT ;Groupe_Vert;koala;09/03/2025;A07;0.004964;12.6;0;
W05;"Je prends une douche plutôt qu""un bain.";Eau; VERT ;Groupe_Vert;koala;09/03/2025;A08;0.140658;357;0;
W03;"Ne pas gaspiller l""eau que l’on boit.";Eau; VERT ;Groupe_Vert;koala;09/03/2025;A13;0.004964;12.6;0;
T03;Remplacer la voiture lors de courts trajets : vélo, trottinette, à pied, transports en commun.;Transport; VERT ;Groupe_Vert;koala;09/03/2025;A03;0.506;0;0;
D03;Je ne jette pas de déchet par terre.;Déchets; VERT ;Groupe_Vert;seiche;08/04/2025;A01;0.424875;0;4.486538;
B02;"Je n""embête pas les petites bêtes.";Biodiversité; VERT ;Groupe_Vert;seiche;08/04/2025;A09;0;0;0;
W05;"Je prends une douche plutôt qu""un bain.";Eau; VERT ;Groupe_Vert;seiche;08/04/2025;A08;0.140658;357;0;
T03;Remplacer la voiture lors de courts trajets : vélo, trottinette, à pied, transports en commun.;Transport; VERT ;Groupe_Vert;seiche;08/04/2025;A03;0.506;0;0;
E01;J'éteins la lumière quand je quitte une pièce;Electricité; VERT ;Groupe_Vert;seiche;08/04/2025;A05;0.027408;0;0;
D02;Éviter le gaspillage alimentaire : se servir moins, garder pour plus tard.;Déchets; VERT ;Groupe_Vert;seiche;28/04/2025;A04;2.453511;0;1.390385;
D10;Utiliser moins de plastique pour faire les courses (ou les réutiliser).;Déchets; VERT ;Groupe_Vert;seiche;28/04/2025;A12;0.54243;0;0.21;
B02;"Je n""embête pas les petites bêtes.";Biodiversité; VERT ;Groupe_Vert;seiche;28/04/2025;A09;0;0;0;
W03;"Je ferme l""eau quand je me savonne.";Eau; VERT ;Groupe_Vert;seiche;28/04/2025;A07;0.004964;12.6;0;
W03;"Ne pas gaspiller l""eau que l’on boit.";Eau; VERT ;Groupe_Vert;seiche;28/04/2025;A13;0.004964;12.6;0;
E02;J’ouvre les volets/rideaux pour profiter de la lumière du jour.;Electricité; VERT ;Groupe_Vert;seiche;28/04/2025;A06;0.027408;0;0;
D02;Éviter le gaspillage alimentaire : se servir moins, garder pour plus tard.;Déchets; VERT ;Groupe_Vert;poissoncrocodile;15/05/2025;A04;2.453511;0;1.390385;
D04;Dans l'enceinte de l'école, je ramasse les déchets que je vois.;Déchets; VERT ;Groupe_Vert;poissoncrocodile;15/05/2025;A02;0.00947;0;0.1;
D03;Je ne jette pas de déchet par terre.;Déchets; VERT ;Groupe_Vert;poissoncrocodile;15/05/2025;A01;0.424875;0;4.486538;
B01;Je n'arrache pas les végétaux.;Biodiversité; VERT ;Groupe_Vert;poissoncrocodile;15/05/2025;A10;0;0;0;
W05;"Je prends une douche plutôt qu""un bain.";Eau; VERT ;Groupe_Vert;poissoncrocodile;15/05/2025;A08;0.140658;357;0;
T03;Remplacer la voiture lors de courts trajets : vélo, trottinette, à pied, transports en commun.;Transport; VERT ;Groupe_Vert;poissoncrocodile;15/05/2025;A03;0.506;0;0;
E01;J'éteins la lumière quand je quitte une pièce;Electricité; VERT ;Groupe_Vert;poissoncrocodile;15/05/2025;A05;0.027408;0;0;
C03;Je consomme des fruits et légumes de saison;Courses; VERT ;Groupe_Vert;koala;20/05/2025;A11;6.932;0;0;
D10;Réutiliser des bouteilles vides.;Déchets; VERT ;Groupe_Vert;koala;20/05/2025;A14;0.54243;0;0.21;
D03;Je ne jette pas de déchet par terre.;Déchets; VERT ;Groupe_Vert;koala;20/05/2025;A01;0.424875;0;4.486538;
B02;"Je n""embête pas les petites bêtes.";Biodiversité; VERT ;Groupe_Vert;koala;20/05/2025;A09;0;0;0;
W03;"Je ferme l""eau quand je me savonne.";Eau; VERT ;Groupe_Vert;koala;20/05/2025;A07;0.004964;12.6;0;
W05;"Je prends une douche plutôt qu""un bain.";Eau; VERT ;Groupe_Vert;koala;20/05/2025;A08;0.140658;357;0;
T03;Remplacer la voiture lors de courts trajets : vélo, trottinette, à pied, transports en commun.;Transport; VERT ;Groupe_Vert;koala;20/05/2025;A03;0.506;0;0;
E01;J'éteins la lumière quand je quitte une pièce;Electricité; VERT ;Groupe_Vert;koala;20/05/2025;A05;0.027408;0;0;
D10;Réutiliser des bouteilles vides.;Déchets; VERT ;Groupe_Vert;matamata;20/05/2025;A14;0.54243;0;0.21;
D02;Éviter le gaspillage alimentaire : se servir moins, garder pour plus tard.;Déchets; VERT ;Groupe_Vert;matamata;20/05/2025;A04;2.453511;0;1.390385;
D04;Dans l'enceinte de l'école, je ramasse les déchets que je vois.;Déchets; VERT ;Groupe_Vert;matamata;20/05/2025;A02;0.00947;0;0.1;
D10;Utiliser moins de plastique pour faire les courses (ou les réutiliser).;Déchets; VERT ;Groupe_Vert;matamata;20/05/2025;A12;0.54243;0;0.21;
D03;Je ne jette pas de déchet par terre.;Déchets; VERT ;Groupe_Vert;matamata;20/05/2025;A01;0.424875;0;4.486538;
C03;Je consomme des fruits et légumes de saison;Courses; VERT ;Groupe_Vert;poissoncrocodile;21/05/2025;A11;6.932;0;0;
D10;Réutiliser des bouteilles vides.;Déchets; VERT ;Groupe_Vert;poissoncrocodile;21/05/2025;A14;0.54243;0;0.21;
D10;Utiliser moins de plastique pour faire les courses (ou les réutiliser).;Déchets; VERT ;Groupe_Vert;poissoncrocodile;21/05/2025;A12;0.54243;0;0.21;
D03;Je ne jette pas de déchet par terre.;Déchets; VERT ;Groupe_Vert;poissoncrocodile;21/05/2025;A01;0.424875;0;4.486538;
W03;"Je ferme l""eau quand je me savonne.";Eau; VERT ;Groupe_Vert;poissoncrocodile;21/05/2025;A07;0.004964;12.6;0;
T03;Remplacer la voiture lors de courts trajets : vélo, trottinette, à pied, transports en commun.;Transport; VERT ;Groupe_Vert;poissoncrocodile;21/05/2025;A03;0.506;0;0;
E02;J’ouvre les volets/rideaux pour profiter de la lumière du jour.;Electricité; VERT ;Groupe_Vert;poissoncrocodile;21/05/2025;A06;0.027408;0;0;
E01;J'éteins la lumière quand je quitte une pièce;Electricité; VERT ;Groupe_Vert;poissoncrocodile;21/05/2025;A05;0.027408;0;0;
W05;"Je prends une douche plutôt qu""un bain.";Eau; VERT ;Groupe_Vert;poissoncrocodile;21/05/2025;A08;0.140658;357;0;
W03;"Ne pas gaspiller l""eau que l’on boit.";Eau; VERT ;Groupe_Vert;poissoncrocodile;21/05/2025;A13;0.004964;12.6;0;
B01;Je n'arrache pas les végétaux.;Biodiversité; VERT ;Groupe_Vert;poissoncrocodile;21/05/2025;A10;0;0;0;
B02;"Je n""embête pas les petites bêtes.";Biodiversité; VERT ;Groupe_Vert;poissoncrocodile;21/05/2025;A09;0;0;0;
D02;Éviter le gaspillage alimentaire : se servir moins, garder pour plus tard.;Déchets; VERT ;Groupe_Vert;poissoncrocodile;21/05/2025;A04;2.453511;0;1.390385;
D04;Dans l'enceinte de l'école, je ramasse les déchets que je vois.;Déchets; VERT ;Groupe_Vert;poissoncrocodile;21/05/2025;A02;0.00947;0;0.1;
W05;"Je prends une douche plutôt qu""un bain.";Eau; VERT ;Groupe_Vert;vipère;09/04/2025;A08;0.140658;357;0;
C03;Je consomme des fruits et légumes de saison;Courses; VERT ;Groupe_Vert;vipère;09/04/2025;A11;6.932;0;0;
D10;Réutiliser des bouteilles vides.;Déchets; VERT ;Groupe_Vert;vipère;09/04/2025;A14;0.54243;0;0.21;
D10;Utiliser moins de plastique pour faire les courses (ou les réutiliser).;Déchets; VERT ;Groupe_Vert;vipère;09/04/2025;A12;0.54243;0;0.21;
B01;Je n'arrache pas les végétaux.;Biodiversité; VERT ;Groupe_Vert;vipère;09/04/2025;A10;0;0;0;
E02;J’ouvre les volets/rideaux pour profiter de la lumière du jour.;Electricité; VERT ;Groupe_Vert;vipère;09/04/2025;A06;0.027408;0;0;
C03;Je consomme des fruits et légumes de saison;Courses; VERT ;Groupe_Vert;bettongie;10/04/2025;A11;6.932;0;0;
D02;Éviter le gaspillage alimentaire : se servir moins, garder pour plus tard.;Déchets; VERT ;Groupe_Vert;bettongie;10/04/2025;A04;2.453511;0;1.390385;
D04;Dans l'enceinte de l'école, je ramasse les déchets que je vois.;Déchets; VERT ;Groupe_Vert;bettongie;10/04/2025;A02;0.00947;0;0.1;
D03;Je ne jette pas de déchet par terre.;Déchets; VERT ;Groupe_Vert;bettongie;10/04/2025;A01;0.424875;0;4.486538;
B01;Je n'arrache pas les végétaux.;Biodiversité; VERT ;Groupe_Vert;bettongie;10/04/2025;A10;0;0;0;
W03;"Ne pas gaspiller l""eau que l’on boit.";Eau; VERT ;Groupe_Vert;bettongie;10/04/2025;A13;0.004964;12.6;0;
T03;Remplacer la voiture lors de courts trajets : vélo, trottinette, à pied, transports en commun.;Transport; VERT ;Groupe_Vert;bettongie;10/04/2025;A03;0.506;0;0;
E01;J'éteins la lumière quand je quitte une pièce;Electricité; VERT ;Groupe_Vert;bettongie;10/04/2025;A05;0.027408;0;0;
E02;J’ouvre les volets/rideaux pour profiter de la lumière du jour.;Electricité; VERT ;Groupe_Vert;matamata;10/04/2025;A06;0.027408;0;0;
T03;Remplacer la voiture lors de courts trajets : vélo, trottinette, à pied, transports en commun.;Transport; VERT ;Groupe_Vert;matamata;10/04/2025;A03;0.506;0;0;
W05;"Je prends une douche plutôt qu""un bain.";Eau; VERT ;Groupe_Vert;matamata;10/04/2025;A08;0.140658;357;0;
B02;"Je n""embête pas les petites bêtes.";Biodiversité; VERT ;Groupe_Vert;matamata;10/04/2025;A09;0;0;0;
D02;Éviter le gaspillage alimentaire : se servir moins, garder pour plus tard.;Déchets; VERT ;Groupe_Vert;matamata;10/04/2025;A04;2.453511;0;1.390385;
D04;Dans l'enceinte de l'école, je ramasse les déchets que je vois.;Déchets; VERT ;Groupe_Vert;matamata;10/04/2025;A02;0.00947;0;0.1;
D03;Je ne jette pas de déchet par terre.;Déchets; VERT ;Groupe_Vert;matamata;10/04/2025;A01;0.424875;0;4.486538;
D02;Éviter le gaspillage alimentaire : se servir moins, garder pour plus tard.;Déchets; VERT ;Groupe_Vert;seiche;15/04/2025;A04;2.453511;0;1.390385;
B02;"Je n""embête pas les petites bêtes.";Biodiversité; VERT ;Groupe_Vert;seiche;15/04/2025;A09;0;0;0;
W03;"Je ferme l""eau quand je me savonne.";Eau; VERT ;Groupe_Vert;seiche;15/04/2025;A07;0.004964;12.6;0;
W03;"Ne pas gaspiller l""eau que l’on boit.";Eau; VERT ;Groupe_Vert;seiche;15/04/2025;A13;0.004964;12.6;0;
E02;J’ouvre les volets/rideaux pour profiter de la lumière du jour.;Electricité; VERT ;Groupe_Vert;seiche;15/04/2025;A06;0.027408;0;0;
C03;Je consomme des fruits et légumes de saison;Courses; VERT ;Groupe_Vert;vipère;16/04/2025;A11;6.932;0;0;
D10;Réutiliser des bouteilles vides.;Déchets; VERT ;Groupe_Vert;vipère;16/04/2025;A14;0.54243;0;0.21;
D03;Je ne jette pas de déchet par terre.;Déchets; VERT ;Groupe_Vert;vipère;16/04/2025;A01;0.424875;0;4.486538;
W03;"Je ferme l""eau quand je me savonne.";Eau; VERT ;Groupe_Vert;vipère;16/04/2025;A07;0.004964;12.6;0;
W03;"Ne pas gaspiller l""eau que l’on boit.";Eau; VERT ;Groupe_Vert;vipère;16/04/2025;A13;0.004964;12.6;0;
D02;Éviter le gaspillage alimentaire : se servir moins, garder pour plus tard.;Déchets; VERT ;Groupe_Vert;bettongie;16/04/2025;A04;2.453511;0;1.390385;
D10;Utiliser moins de plastique pour faire les courses (ou les réutiliser).;Déchets; VERT ;Groupe_Vert;bettongie;16/04/2025;A12;0.54243;0;0.21;
D10;Réutiliser des bouteilles vides.;Déchets; VERT ;Groupe_Vert;bettongie;16/04/2025;A14;0.54243;0;0.21;
B01;Je n'arrache pas les végétaux.;Biodiversité; VERT ;Groupe_Vert;bettongie;16/04/2025;A10;0;0;0;
W05;"Je prends une douche plutôt qu""un bain.";Eau; VERT ;Groupe_Vert;bettongie;16/04/2025;A08;0.140658;357;0;
T03;Remplacer la voiture lors de courts trajets : vélo, trottinette, à pied, transports en commun.;Transport; VERT ;Groupe_Vert;bettongie;16/04/2025;A03;0.506;0;0;
E01;J'éteins la lumière quand je quitte une pièce;Electricité; VERT ;Groupe_Vert;bettongie;16/04/2025;A05;0.027408;0;0;
D02;Éviter le gaspillage alimentaire : se servir moins, garder pour plus tard.;Déchets; VERT ;Groupe_Vert;koala;18/04/2025;A04;2.453511;0;1.390385;
D03;Je ne jette pas de déchet par terre.;Déchets; VERT ;Groupe_Vert;koala;18/04/2025;A01;0.424875;0;4.486538;
B01;Je n'arrache pas les végétaux.;Biodiversité; VERT ;Groupe_Vert;koala;18/04/2025;A10;0;0;0;
W03;"Je ferme l""eau quand je me savonne.";Eau; VERT ;Groupe_Vert;koala;18/04/2025;A07;0.004964;12.6;0;
W03;"Ne pas gaspiller l""eau que l’on boit.";Eau; VERT ;Groupe_Vert;koala;18/04/2025;A13;0.004964;12.6;0;
E02;J’ouvre les volets/rideaux pour profiter de la lumière du jour.;Electricité; VERT ;Groupe_Vert;koala;18/04/2025;A06;0.027408;0;0;
T03;Remplacer la voiture lors de courts trajets : vélo, trottinette, à pied, transports en commun.;Transport; VERT ;Groupe_Vert;koala;18/04/2025;A03;0.506;0;0;
D02;Éviter le gaspillage alimentaire : se servir moins, garder pour plus tard.;Déchets; VERT ;Groupe_Vert;seiche;20/04/2025;A04;2.453511;0;1.390385;
D03;Je ne jette pas de déchet par terre.;Déchets; VERT ;Groupe_Vert;seiche;20/04/2025;A01;0.424875;0;4.486538;
B01;Je n'arrache pas les végétaux.;Biodiversité; VERT ;Groupe_Vert;seiche;20/04/2025;A10;0;0;0;
W05;"Je prends une douche plutôt qu""un bain.";Eau; VERT ;Groupe_Vert;seiche;20/04/2025;A08;0.140658;357;0;
T03;Remplacer la voiture lors de courts trajets : vélo, trottinette, à pied, transports en commun.;Transport; VERT ;Groupe_Vert;seiche;20/04/2025;A03;0.506;0;0;
C03;Je consomme des fruits et légumes de saison;Courses; VERT ;Groupe_Vert;matamata;19/03/2025;A11;6.932;0;0;
D02;Éviter le gaspillage alimentaire : se servir moins, garder pour plus tard.;Déchets; VERT ;Groupe_Vert;matamata;19/03/2025;A04;2.453511;0;1.390385;
D10;Utiliser moins de plastique pour faire les courses (ou les réutiliser).;Déchets; VERT ;Groupe_Vert;matamata;19/03/2025;A12;0.54243;0;0.21;
D03;Je ne jette pas de déchet par terre.;Déchets; VERT ;Groupe_Vert;matamata;19/03/2025;A01;0.424875;0;4.486538;
B02;"Je n""embête pas les petites bêtes.";Biodiversité; VERT ;Groupe_Vert;matamata;19/03/2025;A09;0;0;0;
B01;Je n'arrache pas les végétaux.;Biodiversité; VERT ;Groupe_Vert;matamata;19/03/2025;A10;0;0;0;
E02;J’ouvre les volets/rideaux pour profiter de la lumière du jour.;Electricité; VERT ;Groupe_Vert;matamata;19/03/2025;A06;0.027408;0;0;
E01;J'éteins la lumière quand je quitte une pièce;Electricité; VERT ;Groupe_Vert;matamata;19/03/2025;A05;0.027408;0;0;
T03;Remplacer la voiture lors de courts trajets : vélo, trottinette, à pied, transports en commun.;Transport; VERT ;Groupe_Vert;matamata;19/03/2025;A03;0.506;0;0;
W05;"Je prends une douche plutôt qu""un bain.";Eau; VERT ;Groupe_Vert;matamata;19/03/2025;A08;0.140658;357;0;
W03;"Je ferme l""eau quand je me savonne.";Eau; VERT ;Groupe_Vert;matamata;19/03/2025;A07;0.004964;12.6;0;
W03;"Ne pas gaspiller l""eau que l’on boit.";Eau; VERT ;Groupe_Vert;matamata;19/03/2025;A13;0.004964;12.6;0;
C03;Je consomme des fruits et légumes de saison;Courses; VERT ;Groupe_Vert;bettongie;14/03/2025;A11;6.932;0;0;
D02;Éviter le gaspillage alimentaire : se servir moins, garder pour plus tard.;Déchets; VERT ;Groupe_Vert;bettongie;14/03/2025;A04;2.453511;0;1.390385;
D10;Réutiliser des bouteilles vides.;Déchets; VERT ;Groupe_Vert;bettongie;14/03/2025;A14;0.54243;0;0.21;
D04;Dans l'enceinte de l'école, je ramasse les déchets que je vois.;Déchets; VERT ;Groupe_Vert;bettongie;14/03/2025;A02;0.00947;0;0.1;
D10;Utiliser moins de plastique pour faire les courses (ou les réutiliser).;Déchets; VERT ;Groupe_Vert;bettongie;14/03/2025;A12;0.54243;0;0.21;
D03;Je ne jette pas de déchet par terre.;Déchets; VERT ;Groupe_Vert;bettongie;14/03/2025;A01;0.424875;0;4.486538;
B02;"Je n""embête pas les petites bêtes.";Biodiversité; VERT ;Groupe_Vert;bettongie;14/03/2025;A09;0;0;0;
B01;Je n'arrache pas les végétaux.;Biodiversité; VERT ;Groupe_Vert;bettongie;14/03/2025;A10;0;0;0;
W03;"Je ferme l""eau quand je me savonne.";Eau; VERT ;Groupe_Vert;bettongie;14/03/2025;A07;0.004964;12.6;0;
W05;"Je prends une douche plutôt qu""un bain.";Eau; VERT ;Groupe_Vert;bettongie;14/03/2025;A08;0.140658;357;0;
W03;"Ne pas gaspiller l""eau que l’on boit.";Eau; VERT ;Groupe_Vert;bettongie;14/03/2025;A13;0.004964;12.6;0;
T03;Remplacer la voiture lors de courts trajets : vélo, trottinette, à pied, transports en commun.;Transport; VERT ;Groupe_Vert;bettongie;14/03/2025;A03;0.506;0;0;
E01;J'éteins la lumière quand je quitte une pièce;Electricité; VERT ;Groupe_Vert;bettongie;14/03/2025;A05;0.027408;0;0;
E02;J’ouvre les volets/rideaux pour profiter de la lumière du jour.;Electricité; VERT ;Groupe_Vert;bettongie;14/03/2025;A06;0.027408;0;0;
C03;Je consomme des fruits et légumes de saison;Courses; VERT ;Groupe_Vert;seiche;14/03/2025;A11;6.932;0;0;
D02;Éviter le gaspillage alimentaire : se servir moins, garder pour plus tard.;Déchets; VERT ;Groupe_Vert;seiche;14/03/2025;A04;2.453511;0;1.390385;
D04;Dans l'enceinte de l'école, je ramasse les déchets que je vois.;Déchets; VERT ;Groupe_Vert;seiche;14/03/2025;A02;0.00947;0;0.1;
D10;Utiliser moins de plastique pour faire les courses (ou les réutiliser).;Déchets; VERT ;Groupe_Vert;seiche;14/03/2025;A12;0.54243;0;0.21;
D03;Je ne jette pas de déchet par terre.;Déchets; VERT ;Groupe_Vert;seiche;14/03/2025;A01;0.424875;0;4.486538;
B01;Je n'arrache pas les végétaux.;Biodiversité; VERT ;Groupe_Vert;seiche;14/03/2025;A10;0;0;0;
B02;"Je n""embête pas les petites bêtes.";Biodiversité; VERT ;Groupe_Vert;seiche;14/03/2025;A09;0;0;0;
W05;"Je prends une douche plutôt qu""un bain.";Eau; VERT ;Groupe_Vert;seiche;14/03/2025;A08;0.140658;357;0;
W03;"Je ferme l""eau quand je me savonne.";Eau; VERT ;Groupe_Vert;seiche;14/03/2025;A07;0.004964;12.6;0;
W03;"Ne pas gaspiller l""eau que l’on boit.";Eau; VERT ;Groupe_Vert;seiche;14/03/2025;A13;0.004964;12.6;0;
T03;Remplacer la voiture lors de courts trajets : vélo, trottinette, à pied, transports en commun.;Transport; VERT ;Groupe_Vert;seiche;14/03/2025;A03;0.506;0;0;
E02;J’ouvre les volets/rideaux pour profiter de la lumière du jour.;Electricité; VERT ;Groupe_Vert;seiche;14/03/2025;A06;0.027408;0;0;
