Action ref;Action;Category;Team;Group;Children;Date;Eco tCO2e;Eco eau;Eco dechets
D06;Prendre soin de ses affaires pour les faire durer plus longtemps (reboucher les feutres… ne pas casser. ne pas lancer…);Déchets;ABEILLES;Abeille jaune;abeille4;14/04/2025;0.017374;0;0.183462
D03;Ne pas jeter de déchets dans la nature (chewing-gums. sacs. canettes. bouteilles…);Déchets;ABEILLES;Abeille jaune;abeille4;14/04/2025;0.424875;0;4.486538
D01;Limiter l'utilisation du papier : Utiliser les feuilles des 2 côtés / faire du brouillon / Utiliser l'ardoise pour chercher / Prendre du papier recyclé…;Déchets;ABEILLES;Abeille jaune;abeille4;14/04/2025;0.009641;0;0.8
W07;Vider le reste de sa gourde dans les plantes;Eau;ABEILLES;Abeille jaune;abeille4;14/04/2025;0;0.000013;0
W03;Ne pas faire couler l’eau trop longtemps quand on se lave les mains;Eau;ABEILLES;Abeille jaune;abeille4;14/04/2025;0.004964;12.6;0
W05;Prendre une douche plutôt qu’un bain;Eau;ABEILLES;Abeille jaune;abeille4;14/04/2025;0.140658;357;0
T03;Préférer la marche ou le vélo plutôt que la voiture;Transport;ABEILLES;Abeille jaune;abeille4;14/04/2025;0.506;0;0
E06;Préférer les piles rechargeables;Electricité;ABEILLES;Abeille jaune;abeille4;14/04/2025;0.097538;0;0
E04;Eteindre les écrans (ordinateur. télévision. …) pour diminuer la consommation d’électricité;Electricité;ABEILLES;Abeille jaune;abeille4;14/04/2025;0.15988;0;1
E11;Couvrir les casseroles lorsqu’on fait bouillir de l’eau ou pour cuire…;Electricité;ABEILLES;Abeille jaune;abeille4;14/04/2025;0.00293;0;0
E08;Eteindre le chauffage lorsqu’on aère une pièce;Electricité;ABEILLES;Abeille jaune;abeille4;14/04/2025;0.000173;0;0
C06;Faire ses repas, gouter, compotes sois même plutôt que d’acheter des plats préparés;Courses;ABEILLES;Abeille jaune;abeille4;14/04/2025;1.260407;0;0.180058
W02;Utiliser une seule dose de savon;Courses;ABEILLES;Abeille jaune;abeille4;14/04/2025;0.05;28;0
C06;Faire ses repas, gouter, compotes sois même plutôt que d’acheter des plats préparés;Courses;ABEILLES;Abeille jaune;abeille5;13/04/2025;1.260407;0;0.180058
C05;Faire soi-même ses produits d’entretien pour éviter les emballages;Courses;ABEILLES;Abeille jaune;abeille5;13/04/2025;0.006;0;0.03
C03;Acheter des fruits ou légumes de saison;Courses;ABEILLES;Abeille jaune;abeille5;13/04/2025;6.932;0;0
W02;Utiliser une seule dose de savon;Courses;ABEILLES;Abeille jaune;abeille5;13/04/2025;0.05;28;0
D15;Economiser les mouchoirs en papier. l'essuie-tout et le papier toilette;Déchets;ABEILLES;Abeille jaune;abeille5;13/04/2025;0.009591;0;0.8
D10;Ne pas acheter de bouteilles en plastique : boire à la gourde;Déchets;ABEILLES;Abeille jaune;abeille5;13/04/2025;0.54243;0;0.21
D04;Ramasser les papiers et les déchets par terre pour les mettre à la poubelle;Déchets;ABEILLES;Abeille jaune;abeille5;13/04/2025;0.00947;0;0.1
D03;Ne pas jeter de déchets dans la nature (chewing-gums. sacs. canettes. bouteilles…);Déchets;ABEILLES;Abeille jaune;abeille5;13/04/2025;0.424875;0;4.486538
D02;Tout manger ce qu’il y a dans nos assiettes (cantine/maison);Déchets;ABEILLES;Abeille jaune;abeille5;13/04/2025;2.453511;0;1.390385
D01;Limiter l'utilisation du papier : Utiliser les feuilles des 2 côtés / faire du brouillon / Utiliser l'ardoise pour chercher / Prendre du papier recyclé…;Déchets;ABEILLES;Abeille jaune;abeille5;13/04/2025;0.009641;0;0.8
B01;Ne pas cueillir de plante dans la nature;Biodiversité;ABEILLES;Abeille jaune;abeille5;13/04/2025;0;0;0
W04;Tirer la petite chasse d’eau quand on fait pipi;Eau;ABEILLES;Abeille jaune;abeille5;13/04/2025;0.006501;16.5;0
W03;Ne pas faire couler l’eau trop longtemps quand on se lave les mains;Eau;ABEILLES;Abeille jaune;abeille5;13/04/2025;0.004964;12.6;0
W02;Couper l’eau quand on se brosse les dents : mettre de l’eau dans un verre pour se rincer;Eau;ABEILLES;Abeille jaune;abeille5;13/04/2025;0.05;28;0
W05;Prendre une douche plutôt qu’un bain;Eau;ABEILLES;Abeille jaune;abeille5;13/04/2025;0.140658;357;0
W01;Prendre des douches rapides;Eau;ABEILLES;Abeille jaune;abeille5;13/04/2025;0.25;224;0
T06;Couper le moteur de la voiture quand elle ne roule pas;Transport;ABEILLES;Abeille jaune;abeille5;13/04/2025;1.518;0;0
T04;Faire du covoiturage;Transport;ABEILLES;Abeille jaune;abeille5;13/04/2025;0.506;0;0
E06;Préférer les piles rechargeables;Electricité;ABEILLES;Abeille jaune;abeille5;13/04/2025;0.097538;0;0
E05;Préférer les ampoules à basse consommation;Electricité;ABEILLES;Abeille jaune;abeille5;13/04/2025;0.072803;0;0
E04;Eteindre les écrans (ordinateur. télévision. …) pour diminuer la consommation d’électricité;Electricité;ABEILLES;Abeille jaune;abeille5;13/04/2025;0.15988;0;1
E02;Ouvrir les volets et ne pas allumer la lumière quand il fait jour dehors. ou éteindre lorsque la lumière extérieure le permet;Electricité;ABEILLES;Abeille jaune;abeille5;13/04/2025;0.027408;0;0
E11;Couvrir les casseroles lorsqu’on fait bouillir de l’eau ou pour cuire…;Electricité;ABEILLES;Abeille jaune;abeille5;13/04/2025;0.00293;0;0
E10;Faire sécher son linge à l'air libre au lieu d'utiliser le sèche linge chaque fois qu'on peut;Electricité;ABEILLES;Abeille jaune;abeille5;13/04/2025;0.413462;0;0
E08;Eteindre le chauffage lorsqu’on aère une pièce;Electricité;ABEILLES;Abeille jaune;abeille5;13/04/2025;0.000173;0;0
E01;Eteindre la lumière quand on quitte une pièce. quand on n’en a pas besoin;Electricité;ABEILLES;Abeille jaune;abeille5;13/04/2025;0.027408;0;0
D11;Acheter des produits en vrac. éviter les emballages individuels…;Déchets;ABEILLES;Abeille jaune;abeille4;14/04/2025;0.38;0;0.67
D10;Ne pas acheter de bouteilles en plastique : boire à la gourde;Déchets;ABEILLES;Abeille jaune;abeille4;14/04/2025;0.54243;0;0.21
D07;Vendre ou donner les vêtements. les objets. les jouets dont on ne veut plus (trop petits…);Déchets;ABEILLES;Abeille jaune;abeille4;14/04/2025;0.017374;2500;0
D04;Ramasser les papiers et les déchets par terre pour les mettre à la poubelle;Déchets;ABEILLES;Abeille jaune;abeille4;14/04/2025;0.00947;0;0.1
D02;Tout manger ce qu’il y a dans nos assiettes (cantine/maison);Déchets;ABEILLES;Abeille jaune;abeille4;14/04/2025;2.453511;0;1.390385
B03;Donner à manger aux oiseaux dans son jardin ou sur son balcon;Biodiversité;ABEILLES;Abeille jaune;abeille4;14/04/2025;0;0;0
W04;Tirer la petite chasse d’eau quand on fait pipi;Eau;ABEILLES;Abeille jaune;abeille4;14/04/2025;0.006501;16.5;0
W02;Couper l’eau quand on se brosse les dents : mettre de l’eau dans un verre pour se rincer;Eau;ABEILLES;Abeille jaune;abeille4;14/04/2025;0.05;28;0
W01;Prendre des douches rapides;Eau;ABEILLES;Abeille jaune;abeille4;14/04/2025;0.25;224;0
T06;Couper le moteur de la voiture quand elle ne roule pas;Transport;ABEILLES;Abeille jaune;abeille4;14/04/2025;1.518;0;0
E05;Préférer les ampoules à basse consommation;Electricité;ABEILLES;Abeille jaune;abeille4;14/04/2025;0.072803;0;0
E02;Ouvrir les volets et ne pas allumer la lumière quand il fait jour dehors. ou éteindre lorsque la lumière extérieure le permet;Electricité;ABEILLES;Abeille jaune;abeille4;14/04/2025;0.027408;0;0
E10;Faire sécher son linge à l'air libre au lieu d'utiliser le sèche linge chaque fois qu'on peut;Electricité;ABEILLES;Abeille jaune;abeille4;14/04/2025;0.413462;0;0
E01;Eteindre la lumière quand on quitte une pièce. quand on n’en a pas besoin;Electricité;ABEILLES;Abeille jaune;abeille4;14/04/2025;0.027408;0;0
C03;Acheter des fruits ou légumes de saison;Courses;ABEILLES;Abeille jaune;abeille4;14/04/2025;6.932;0;0
C06;Faire ses repas, gouter, compotes sois même plutôt que d’acheter des plats préparés;Courses;ABEILLES;Abeille jaune;abeille4;19/05/2025;1.260407;0;0.180058
W02;Utiliser une seule dose de savon;Courses;ABEILLES;Abeille jaune;abeille4;19/05/2025;0.05;28;0
D10;Ne pas acheter de bouteilles en plastique : boire à la gourde;Déchets;ABEILLES;Abeille jaune;abeille4;19/05/2025;0.54243;0;0.21
D08;Utiliser les bacs de tri;Déchets;ABEILLES;Abeille jaune;abeille4;19/05/2025;0.866962;0;0
D06;Prendre soin de ses affaires pour les faire durer plus longtemps (reboucher les feutres… ne pas casser. ne pas lancer…);Déchets;ABEILLES;Abeille jaune;abeille4;19/05/2025;0.017374;0;0.183462
C06;Faire ses repas, gouter, compotes sois même plutôt que d’acheter des plats préparés;Courses;ABEILLES;Abeille jaune;abeille5;24/04/2025;1.260407;0;0.180058
C03;Acheter des fruits ou légumes de saison;Courses;ABEILLES;Abeille jaune;abeille5;24/04/2025;6.932;0;0
D15;Economiser les mouchoirs en papier. l'essuie-tout et le papier toilette;Déchets;ABEILLES;Abeille jaune;abeille5;24/04/2025;0.009591;0;0.8
C03;Acheter des fruits ou légumes de saison;Courses;ABEILLES;Abeille jaune;abeille4;19/05/2025;6.932;0;0
D15;Economiser les mouchoirs en papier. l'essuie-tout et le papier toilette;Déchets;ABEILLES;Abeille jaune;abeille4;19/05/2025;0.009591;0;0.8
D09;Faire du compost avec les déchets végétaux ou donner les restes alimentaires aux poules…;Déchets;ABEILLES;Abeille jaune;abeille4;19/05/2025;0.0623;0;1.75
D07;Vendre ou donner les vêtements. les objets. les jouets dont on ne veut plus (trop petits…);Déchets;ABEILLES;Abeille jaune;abeille4;19/05/2025;0.017374;2500;0
D04;Ramasser les papiers et les déchets par terre pour les mettre à la poubelle;Déchets;ABEILLES;Abeille jaune;abeille4;19/05/2025;0.00947;0;0.1
D02;Tout manger ce qu’il y a dans nos assiettes (cantine/maison);Déchets;ABEILLES;Abeille jaune;abeille4;19/05/2025;2.453511;0;1.390385
B04;Faire un jardin potager;Biodiversité;ABEILLES;Abeille jaune;abeille4;19/05/2025;4.48;0;0
B02;Ne pas tuer les araignées. les insectes (les mettre dehors…);Biodiversité;ABEILLES;Abeille jaune;abeille4;19/05/2025;0;0;0
W07;Vider le reste de sa gourde dans les plantes;Eau;ABEILLES;Abeille jaune;abeille4;19/05/2025;0;0.000013;0
W03;Ne pas faire couler l’eau trop longtemps quand on se lave les mains;Eau;ABEILLES;Abeille jaune;abeille4;19/05/2025;0.004964;12.6;0
W05;Prendre une douche plutôt qu’un bain;Eau;ABEILLES;Abeille jaune;abeille4;19/05/2025;0.140658;357;0
T03;Préférer la marche ou le vélo plutôt que la voiture;Transport;ABEILLES;Abeille jaune;abeille4;19/05/2025;0.506;0;0
E06;Préférer les piles rechargeables;Electricité;ABEILLES;Abeille jaune;abeille4;19/05/2025;0.097538;0;0
E04;Eteindre les écrans (ordinateur. télévision. …) pour diminuer la consommation d’électricité;Electricité;ABEILLES;Abeille jaune;abeille4;19/05/2025;0.15988;0;1
E11;Couvrir les casseroles lorsqu’on fait bouillir de l’eau ou pour cuire…;Electricité;ABEILLES;Abeille jaune;abeille4;19/05/2025;0.00293;0;0
E08;Eteindre le chauffage lorsqu’on aère une pièce;Electricité;ABEILLES;Abeille jaune;abeille4;19/05/2025;0.000173;0;0
C05;Faire soi-même ses produits d’entretien pour éviter les emballages;Courses;ABEILLES;Abeille jaune;abeille12;16/04/2025;0.006;0;0.03
D08;Utiliser les bacs de tri;Déchets;ABEILLES;Abeille jaune;abeille12;16/04/2025;0.866962;0;0
D03;Ne pas jeter de déchets dans la nature (chewing-gums. sacs. canettes. bouteilles…);Déchets;ABEILLES;Abeille jaune;abeille12;16/04/2025;0.424875;0;4.486538
B01;Ne pas cueillir de plante dans la nature;Biodiversité;ABEILLES;Abeille jaune;abeille12;16/04/2025;0;0;0
W03;Ne pas faire couler l’eau trop longtemps quand on se lave les mains;Eau;ABEILLES;Abeille jaune;abeille12;16/04/2025;0.004964;12.6;0
W05;Prendre une douche plutôt qu’un bain;Eau;ABEILLES;Abeille jaune;abeille12;16/04/2025;0.140658;357;0
T06;Couper le moteur de la voiture quand elle ne roule pas;Transport;ABEILLES;Abeille jaune;abeille12;16/04/2025;1.518;0;0
E04;Eteindre les écrans (ordinateur. télévision. …) pour diminuer la consommation d’électricité;Electricité;ABEILLES;Abeille jaune;abeille12;16/04/2025;0.15988;0;1
E11;Couvrir les casseroles lorsqu’on fait bouillir de l’eau ou pour cuire…;Electricité;ABEILLES;Abeille jaune;abeille12;16/04/2025;0.00293;0;0
E08;Eteindre le chauffage lorsqu’on aère une pièce;Electricité;ABEILLES;Abeille jaune;abeille12;16/04/2025;0.000173;0;0
D03;Ne pas jeter de déchets dans la nature (chewing-gums. sacs. canettes. bouteilles…);Déchets;ABEILLES;Abeille jaune;abeille4;19/05/2025;0.424875;0;4.486538
D01;Limiter l'utilisation du papier : Utiliser les feuilles des 2 côtés / faire du brouillon / Utiliser l'ardoise pour chercher / Prendre du papier recyclé…;Déchets;ABEILLES;Abeille jaune;abeille4;19/05/2025;0.009641;0;0.8
D08;Utiliser les bacs de tri;Déchets;ABEILLES;Abeille jaune;abeille5;24/04/2025;0.866962;0;0
B03;Donner à manger aux oiseaux dans son jardin ou sur son balcon;Biodiversité;ABEILLES;Abeille jaune;abeille4;19/05/2025;0;0;0
B01;Ne pas cueillir de plante dans la nature;Biodiversité;ABEILLES;Abeille jaune;abeille4;19/05/2025;0;0;0
W04;Tirer la petite chasse d’eau quand on fait pipi;Eau;ABEILLES;Abeille jaune;abeille4;19/05/2025;0.006501;16.5;0
W02;Couper l’eau quand on se brosse les dents : mettre de l’eau dans un verre pour se rincer;Eau;ABEILLES;Abeille jaune;abeille4;19/05/2025;0.05;28;0
W01;Prendre des douches rapides;Eau;ABEILLES;Abeille jaune;abeille4;19/05/2025;0.25;224;0
T06;Couper le moteur de la voiture quand elle ne roule pas;Transport;ABEILLES;Abeille jaune;abeille4;19/05/2025;1.518;0;0
E05;Préférer les ampoules à basse consommation;Electricité;ABEILLES;Abeille jaune;abeille4;19/05/2025;0.072803;0;0
E02;Ouvrir les volets et ne pas allumer la lumière quand il fait jour dehors. ou éteindre lorsque la lumière extérieure le permet;Electricité;ABEILLES;Abeille jaune;abeille4;19/05/2025;0.027408;0;0
E10;Faire sécher son linge à l'air libre au lieu d'utiliser le sèche linge chaque fois qu'on peut;Electricité;ABEILLES;Abeille jaune;abeille4;19/05/2025;0.413462;0;0
E01;Eteindre la lumière quand on quitte une pièce. quand on n’en a pas besoin;Electricité;ABEILLES;Abeille jaune;abeille4;19/05/2025;0.027408;0;0
D06;Prendre soin de ses affaires pour les faire durer plus longtemps (reboucher les feutres… ne pas casser. ne pas lancer…);Déchets;ABEILLES;Abeille jaune;abeille5;24/04/2025;0.017374;0;0.183462
D03;Ne pas jeter de déchets dans la nature (chewing-gums. sacs. canettes. bouteilles…);Déchets;ABEILLES;Abeille jaune;abeille5;24/04/2025;0.424875;0;4.486538
D01;Limiter l'utilisation du papier : Utiliser les feuilles des 2 côtés / faire du brouillon / Utiliser l'ardoise pour chercher / Prendre du papier recyclé…;Déchets;ABEILLES;Abeille jaune;abeille5;24/04/2025;0.009641;0;0.8
B01;Ne pas cueillir de plante dans la nature;Biodiversité;ABEILLES;Abeille jaune;abeille5;24/04/2025;0;0;0
W03;Ne pas faire couler l’eau trop longtemps quand on se lave les mains;Eau;ABEILLES;Abeille jaune;abeille5;24/04/2025;0.004964;12.6;0
W05;Prendre une douche plutôt qu’un bain;Eau;ABEILLES;Abeille jaune;abeille5;24/04/2025;0.140658;357;0
T06;Couper le moteur de la voiture quand elle ne roule pas;Transport;ABEILLES;Abeille jaune;abeille5;24/04/2025;1.518;0;0
E06;Préférer les piles rechargeables;Electricité;ABEILLES;Abeille jaune;abeille5;24/04/2025;0.097538;0;0
E04;Eteindre les écrans (ordinateur. télévision. …) pour diminuer la consommation d’électricité;Electricité;ABEILLES;Abeille jaune;abeille5;24/04/2025;0.15988;0;1
E11;Couvrir les casseroles lorsqu’on fait bouillir de l’eau ou pour cuire…;Electricité;ABEILLES;Abeille jaune;abeille5;24/04/2025;0.00293;0;0
C05;Faire soi-même ses produits d’entretien pour éviter les emballages;Courses;ABEILLES;Abeille jaune;abeille5;24/04/2025;0.006;0;0.03
W02;Utiliser une seule dose de savon;Courses;ABEILLES;Abeille jaune;abeille5;24/04/2025;0.05;28;0
D10;Ne pas acheter de bouteilles en plastique : boire à la gourde;Déchets;ABEILLES;Abeille jaune;abeille5;24/04/2025;0.54243;0;0.21
D07;Vendre ou donner les vêtements. les objets. les jouets dont on ne veut plus (trop petits…);Déchets;ABEILLES;Abeille jaune;abeille5;24/04/2025;0.017374;2500;0
D04;Ramasser les papiers et les déchets par terre pour les mettre à la poubelle;Déchets;ABEILLES;Abeille jaune;abeille5;24/04/2025;0.00947;0;0.1
D02;Tout manger ce qu’il y a dans nos assiettes (cantine/maison);Déchets;ABEILLES;Abeille jaune;abeille5;24/04/2025;2.453511;0;1.390385
B02;Ne pas tuer les araignées. les insectes (les mettre dehors…);Biodiversité;ABEILLES;Abeille jaune;abeille5;24/04/2025;0;0;0
W04;Tirer la petite chasse d’eau quand on fait pipi;Eau;ABEILLES;Abeille jaune;abeille5;24/04/2025;0.006501;16.5;0
W02;Couper l’eau quand on se brosse les dents : mettre de l’eau dans un verre pour se rincer;Eau;ABEILLES;Abeille jaune;abeille5;24/04/2025;0.05;28;0
W01;Prendre des douches rapides;Eau;ABEILLES;Abeille jaune;abeille5;24/04/2025;0.25;224;0
T04;Faire du covoiturage;Transport;ABEILLES;Abeille jaune;abeille5;24/04/2025;0.506;0;0
E05;Préférer les ampoules à basse consommation;Electricité;ABEILLES;Abeille jaune;abeille5;24/04/2025;0.072803;0;0
E02;Ouvrir les volets et ne pas allumer la lumière quand il fait jour dehors. ou éteindre lorsque la lumière extérieure le permet;Electricité;ABEILLES;Abeille jaune;abeille5;24/04/2025;0.027408;0;0
C06;Faire ses repas, gouter, compotes sois même plutôt que d’acheter des plats préparés;Courses;ABEILLES;Abeille jaune;abeille5;19/05/2025;1.260407;0;0.180058
W02;Utiliser une seule dose de savon;Courses;ABEILLES;Abeille jaune;abeille5;19/05/2025;0.05;28;0
D11;Acheter des produits en vrac. éviter les emballages individuels…;Déchets;ABEILLES;Abeille jaune;abeille5;19/05/2025;0.38;0;0.67
D10;Ne pas acheter de bouteilles en plastique : boire à la gourde;Déchets;ABEILLES;Abeille jaune;abeille5;19/05/2025;0.54243;0;0.21
D07;Vendre ou donner les vêtements. les objets. les jouets dont on ne veut plus (trop petits…);Déchets;ABEILLES;Abeille jaune;abeille5;19/05/2025;0.017374;2500;0
D04;Ramasser les papiers et les déchets par terre pour les mettre à la poubelle;Déchets;ABEILLES;Abeille jaune;abeille5;19/05/2025;0.00947;0;0.1
D02;Tout manger ce qu’il y a dans nos assiettes (cantine/maison);Déchets;ABEILLES;Abeille jaune;abeille5;19/05/2025;2.453511;0;1.390385
B02;Ne pas tuer les araignées. les insectes (les mettre dehors…);Biodiversité;ABEILLES;Abeille jaune;abeille5;19/05/2025;0;0;0
W04;Tirer la petite chasse d’eau quand on fait pipi;Eau;ABEILLES;Abeille jaune;abeille5;19/05/2025;0.006501;16.5;0
W02;Couper l’eau quand on se brosse les dents : mettre de l’eau dans un verre pour se rincer;Eau;ABEILLES;Abeille jaune;abeille5;19/05/2025;0.05;28;0
W01;Prendre des douches rapides;Eau;ABEILLES;Abeille jaune;abeille5;19/05/2025;0.25;224;0
T06;Couper le moteur de la voiture quand elle ne roule pas;Transport;ABEILLES;Abeille jaune;abeille5;19/05/2025;1.518;0;0
E06;Préférer les piles rechargeables;Electricité;ABEILLES;Abeille jaune;abeille5;19/05/2025;0.097538;0;0
